"Day","Sales","Trading Profit","Operating Expense","Net Profit"
11,3135428,-478194,874921,-1353115
12,3656231,-82542,918890,-1001432
13,4225888,363196,958724,-595528
14,4730816,-279578,2088903,-2366426
15,6610523,1474997,2113737,-638740
16,7275883,2017412,2138571,-121159
17,7824518,2447172,2169209,278990
18,10650565,4506638,2735910,1770728
19,11954627,5680667,2779552,2901115
20,13427423,7033906,3023839,4010067
21,14244985,5934713,3953187,1983581
22,16499826,5828905,5437755,392177
23,20499058,9557004,5476757,4080247
24,21426493,10283251,5515072,4768179
25,22314468,10189695,6448225,3743525
26,24359848,12009173,6487604,5521569
27,25364561,10880880,9039088,1843847
28,28650581,12714305,10365983,2348322
29,31141142,14973165,10404307,4568858
30,32032093,15366708,10811076,4555632
31,34399827,17558990,10899965,6659025
32,35471025,17122516,12525663,4596853
33,43185577,23666850,12567737,11099113
34,49575391,28329151,13286109,15043042
35,57174079,34775683,13344400,21431283
36,58876482,36300771,13385852,22914919
37,60038791,36240733,13968418,22272315
38,61190876,36054449,15198700,20855749
39,63738465,38416378,15282080,23134298
40,66232131,40747426,15376611,25370815
41,67407128,40813194,16387654,24425540
42,69925001,42577862,17120346,25457516
43,71874468,44359693,17184467,27175226
44,78010558,47627837,19634463,27993374
45,87338564,56112807,19746469,36366338
46,88569298,57172836,19804934,37367902
47,89756061,57343399,20786614,36556785
48,92062173,59477199,20852996,38624203
49,93163992,60414102,20926984,39487118
50,94295657,61376066,21002506,40373560
51,95449994,61537941,21832111,39705830
52,100768191,66302541,21893826,44408715
53,105063862,70021994,21954369,48067625
54,109425479,73782634,22020257,51762377
55,110685722,74415191,22745392,51669799
56,112592875,76157152,22807483,53349669
57,113777991,77171161,22866556,54304605
58,114937357,77372639,23377089,53995550
59,116929526,78718422,23780759,54937663
60,118305410,78893719,24286718,54607001
61,119841357,79723480,24701061,55022419
62,123019578,82724445,24761803,57962642
63,124286949,83818371,24814991,59003380
64,125517402,84879873,24908734,59971139
65,130664466,88094494,25444057,62650437
66,132327293,89522284,25530800,63991484
67,134640974,90834300,26542801,64291499
68,136739122,92412126,27161005,65251121
69,138459620,91480188,29620890,61859298
70,145845470,96989697,30244475,66745222
71,150004492,100594969,30309319,70285650
72,155702777,104713444,30836862,73876582
73,157270837,105803610,31290568,74513042
74,159392958,107422759,31604227,75818532
75,161084669,108942678,31706273,77236405
76,162338987,110005995,31770972,78235023
77,163592164,111085393,31829464,79255929
78,164813121,111962604,32152674,79809930
79,166233560,111713785,33493771,78220014
80,168411952,113142630,33806632,79335998
81,170599562,114593204,34269397,80323807
82,172084767,115965539,34329506,81636033
83,173910552,116896797,35270312,81626485
84,182033797,124030589,35362714,88667875
85,189511528,129685901,36542728,93143173
86,191643090,129442991,37579584,91863407
87,192927666,130190081,37971728,92218353
88,194501842,131569046,38037470,93531576
89,198274423,134429044,39214115,95214929
90,200574673,136499072,39337064,97162008
